S NO,STATION_NUMBER,DISTRICT_NAME,BLOCK,LOCATION,LONGITUDE,LATITUDE,STATION_TYPE,TIME,cloudiness,Humidity (%),RAIN (mm),TEMPERATURE (C),Wind Direction (Deg),Wind Speed (m/s)
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,40.9,3.2,41.5,28.9,4.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,82.5,0,29.8,103.3,5.5
38,10263,East Champaran,Banjaria,Pachrukha East,84.92393,26.7494,TRG,22JUN2020 1730 IST (12 hr FCST),0.5,50.1,0.3,37.9,139.1,8.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.5,0,30.6,89.9,5.3
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.8,36.9,0,39.1,138.5,4.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,67.1,0,31.6,98,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,44.4,15.9,41.7,8.5,3.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,83.1,0,29.7,101.2,5.6
39,10258,East Champaran,Banjaria,Pachrukha Madhy,84.871614,26.734774,TRG,22JUN2020 1730 IST (12 hr FCST),0.5,49.7,0,37.9,133,8.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.3,0,30.6,87.4,5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,37.3,1.3,38.9,131.6,5.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,66.9,0,31.7,98.7,6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,43.4,15.3,41.8,28.2,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,83.7,0,29.7,101,5.5
40,10257,East Champaran,Banjaria,Pachrukha West,84.860214,26.689122,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,50.7,0,37.8,127.9,9.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.6,0,30.6,86.7,4.8
